id,created_at,seller_id,name,description,price,is_active,slug,normal_price,badge_label,highlights,service_category_id,service_sub_category_id,service_duration,images
102000000151,2026-03-10 13:00:00+00,30123650001,AC Repair Inspection,Professional service to keep everything running smoothly.,99.00,true,ac-repair-inspection-151,149.00,,"[""Top Rated"",""Guarantee""]",1,1,30 mins,"[""https://picsum.photos/400""]"
102000000152,2026-03-10 13:00:00+00,110010100001,AC Minor Fix,Professional service to keep everything running smoothly.,199.00,true,ac-minor-fix-152,299.00,Value,"[""Top Rated"",""Guarantee""]",1,1,1 Hour,"[""https://picsum.photos/400""]"
102000000153,2026-03-10 13:00:00+00,30123650001,AC Major Repair,Professional service to keep everything running smoothly.,599.00,true,ac-major-repair-153,799.00,,"[""Top Rated"",""Guarantee""]",1,1,2 Hour,"[""https://picsum.photos/400""]"
102000000154,2026-03-10 13:00:00+00,110010100001,AC Component Replacement,Professional service to keep everything running smoothly.,899.00,true,ac-component-replacement-154,1199.00,,"[""Top Rated"",""Guarantee""]",1,1,3 Hour,"[""https://picsum.photos/400""]"
102000000155,2026-03-10 13:00:00+00,30123650001,AC Complete Installation,Professional service to keep everything running smoothly.,1299.00,true,ac-complete-installation-155,1599.00,Bestseller,"[""Top Rated"",""Guarantee""]",1,1,4 Hour,"[""https://picsum.photos/400""]"
102000000156,2026-03-10 13:00:00+00,110010100001,AC Uninstallation Service,Professional service to keep everything running smoothly.,399.00,true,ac-uninstallation-service-156,599.00,,"[""Top Rated"",""Guarantee""]",1,1,1 Hour,"[""https://picsum.photos/400""]"
102000000157,2026-03-10 13:00:00+00,30123650001,AC Annual Maintenance Contract,Professional service to keep everything running smoothly.,2499.00,true,ac-annual-maintenance-contract-157,2999.00,Premium,"[""Top Rated"",""Guarantee""]",1,1,1 Hour,"[""https://picsum.photos/400""]"
102000000158,2026-03-10 13:00:00+00,110010100001,AC Emergency Night Service,Professional service to keep everything running smoothly.,499.00,true,ac-emergency-night-service-158,699.00,Urgent,"[""Top Rated"",""Guarantee""]",1,1,1 Hour,"[""https://picsum.photos/400""]"
102000000159,2026-03-10 13:00:00+00,30123650001,AC Weekend Special Service,Professional service to keep everything running smoothly.,299.00,true,ac-weekend-special-service-159,399.00,,"[""Top Rated"",""Guarantee""]",1,1,1 Hour,"[""https://picsum.photos/400""]"
102000000160,2026-03-10 13:00:00+00,110010100001,AC Festive Cleaning,Professional service to keep everything running smoothly.,349.00,true,ac-festive-cleaning-160,499.00,Offer,"[""Top Rated"",""Guarantee""]",1,1,90 mins,"[""https://picsum.photos/400""]"
102000000161,2026-03-10 13:00:00+00,30123650001,AC Smart Upgrade,Professional service to keep everything running smoothly.,999.00,true,ac-smart-upgrade-161,1299.00,,"[""Top Rated"",""Guarantee""]",1,1,2 Hour,"[""https://picsum.photos/400""]"
102000000162,2026-03-10 13:00:00+00,110010100001,AC Eco-Friendly Cleaning,Professional service to keep everything running smoothly.,449.00,true,ac-eco-friendly-cleaning-162,599.00,Green,"[""Top Rated"",""Guarantee""]",1,1,1 Hour,"[""https://picsum.photos/400""]"
